"genus","mean_rel_before","mean_rel_after","log2fc_rel","wilcox_p","q"
"s__producta",0.00963673019387815,0.00687271439907406,-0.487603504338258,0.244293641331777,0.625391721809348
"s__ovatus",0.0110007250351645,0.00895135265824255,-0.297390977092597,0.276260224405267,0.649947351569898
"s__anginosus",0.000903775075132256,0.000152398756426148,-2.56027239907404,0.280712665268496,0.649947351569898
"s__bifidum",0.00136040574259734,0.00250973721312976,0.88301393616925,0.286320596793059,0.649947351569898
"s__perfringens",0.00158493650065263,0.000434982572991184,-1.86299263395124,0.29450739368011,0.649947351569898
"s__",0.412178457755283,0.442993597878168,0.104016500387838,0.309491092612211,0.660247664239383
"s__longum",0.0177417966563964,0.0214008627632513,0.270502942421862,0.321901983361352,0.664571836616984
"s__ramosum",0.00331284391129447,0.00433652456887311,0.388366279190929,0.338763015336974,0.677526030673947
"s__maritima",0.000236938054591985,7.84091210263155e-05,-1.5832093957904,0.352542137499713,0.683718084847928
"s__obeum",0.00231734946138105,0.00337602428929695,0.542654505518885,0.398304593395588,0.723451052298721
"s__acidilactici",0.000564958667581165,0.00114242136064693,1.01458854628507,0.401678166469773,0.723451052298721
"s__helveticus",0.0133292791807194,0.00720204565731616,-0.888028041496202,0.406941216918031,0.723451052298721
"s__parainfluenzae",0.0055888798349281,0.00532265499869909,-0.0704001900061639,0.422175673993565,0.729423214084889
"s__formicigenerans",0.00671127940010065,0.00558066256171032,-0.266107860323626,0.433095033362903,0.729423214084889
"s__plebeius",0.00278081680442515,0.00347962917274367,0.323320702264765,0.449803788345075,0.738139550104739
"s__palleronii",0.00185263040361689,0.00308978902078273,0.737621565397087,0.484641678788314,0.775426686061303
"s__distasonis",0.00785585443686533,0.00501865231066002,-0.646364393527291,0.513591682337011,0.801704089501676
"s__rhizosphaerae",0.000669709188351011,0.000386561552128676,-0.791261910393157,0.563317799720071,0.830410553984519
"s__D168",0.000203914989132045,0.000635426445742934,1.63496826739603,0.583882420770365,0.830410553984519
"s__hathewayi",0.000367363002779832,0.000140349361950208,-1.38186279808707,0.583882420770365,0.830410553984519
"s__flavefaciens",4.12483306297572e-05,1.55903601685006e-05,-1.34854913007526,0.583882420770365,0.830410553984519
"__",0.245936232409143,0.241598072974123,-0.0256752419117497,0.713175676255546,0.987156638380654
"s__longicatena",0.00177281273470024,0.00201292738975247,0.183157960077576,0.726767806199101,0.987156638380654
"s__breve",0.00113741394964863,0.000920979079909789,-0.304219324481369,0.740367478785491,0.987156638380654
"s__prausnitzii",0.042598399204396,0.0497995772873732,0.225329382369404,0.763938808898517,0.993777192665226
"s__formicilis",0.00683310194688893,0.00624465254236023,-0.129899457459962,0.776388431769708,0.993777192665226
"s__aerofaciens",0.0073057180983158,0.00548526584513019,-0.413399015760613,0.798272981372542,1
"s__adolescentis",0.0588184421457464,0.0953198686222259,0.696498996801739,0.820221923334007,1
"s__dolichum",0.00106632409640984,0.000522930747734045,-1.02655028517212,0.84451926747294,1
"s__gnavus",0.0269645981294642,0.0171798446428075,-0.650319071082212,0.850603560371215,1
"s__catus",0.00136866466675467,0.00125536862010083,-0.124562908398267,0.893903721815722,1
"s__neonatale",0.00188610320297294,0.000907248022611911,-1.05501509922275,0.905695442034309,1
"s__zeae",0.000966893937860939,0.000486637799514468,-0.98903900356062,0.932646638965876,1
"s__biforme",0.00244390527198782,0.00222729388285324,-0.13383905109296,0.932646638965876,1
"s__viridiflava",0.00388315988510885,0.00380175684030346,-0.0305568965058397,0.939389356873358,1
"s__citroniae",0.00216816988473307,0.00168119909918856,-0.366794578189879,0.944182513250483,1
"s__lenta",0.00173029306803677,0.00140760493909674,-0.297582913937216,1,1
"s__moorei",0.000124772901165061,0.000120166124762,-0.0538347037413253,1,1
"s__salivarius",0.0014232768099854,0.000779786010446985,-0.86723045405675,1,1
"s__yabuuchiae",0.00103141233901237,0.00093289546987299,-0.144686304754754,1,1
