"genus","mean_rel_before","mean_rel_after","log2fc_rel","cliffs_delta","p","q"
"s__putredinis",0.00197296548856708,0.000426712700658976,-2.20638281406048,0.0463733650416172,0.60154728053899,0.856850836095427
"s__breve",0.00113741394964863,0.000920979079909789,-0.304219324481369,0.070154577883472,0.609685570063113,0.856850836095427
"s__obeum",0.00231734946138105,0.00337602428929695,0.542654505518885,-0.0570749108204518,0.626372395278898,0.856850836095427
"s__adolescentis",0.0588184421457464,0.0953198686222259,0.696498996801739,0.0725326991676576,0.629963962654113,0.856850836095427
"s__coprophilus",0.00222634045895835,0.000532344729433756,-2.06218186625552,0.0368608799048751,0.631830454263818,0.856850836095427
"s__ruminis",0.00229704097802291,0.00103348116991872,-1.15149713907997,0.0416171224732462,0.640349091845733,0.856850836095427
"s__D168",0.000203914989132045,0.000635426445742934,1.63496826739603,-0.0344827586206896,0.654724458435718,0.856850836095427
"s__helveticus",0.0133292791807194,0.00720204565731616,-0.888028041496202,-0.0523186682520809,0.656026421385561,0.856850836095427
"s__biforme",0.00244390527198782,0.00222729388285324,-0.13383905109296,-0.0368608799048752,0.711248103051815,0.892030756650824
"s__moorei",0.000124772901165061,0.000120166124762,-0.0538347037413253,0.0321046373365041,0.720883083492397,0.892030756650824
"s__aerofaciens",0.0073057180983158,0.00548526584513019,-0.413399015760613,-0.0487514863258026,0.724774989778795,0.892030756650824
"s__formicilis",0.00683310194688893,0.00624465254236023,-0.129899457459962,0.0463733650416172,0.743584399121557,0.895740325568326
"__",0.245936232409143,0.241598072974123,-0.0256752419117497,0.0487514863258025,0.755780899698275,0.895740325568326
"s__viridiflava",0.00388315988510885,0.00380175684030346,-0.0305568965058397,-0.0416171224732461,0.780404284142378,0.903941771017331
"s__dolichum",0.00106632409640984,0.000522930747734045,-1.02655028517212,-0.0297265160523187,0.798258777477761,0.903941771017331
"s__citroniae",0.00216816988473307,0.00168119909918856,-0.366794578189879,-0.0249702734839476,0.805073139812311,0.903941771017331
"s__plebeius",0.00278081680442515,0.00347962917274367,0.323320702264765,-0.0249702734839476,0.843482566408924,0.924303914880943
"s__palleronii",0.00185263040361689,0.00308978902078273,0.737621565397087,-0.0225921521997622,0.85209267153087,0.924303914880943
"s__gnavus",0.0269645981294642,0.0171798446428075,-0.650319071082212,-0.0225921521997622,0.887725402978408,0.946907096510301
"s__prausnitzii",0.042598399204396,0.0497995772873732,0.225329382369404,0.00594530321046371,0.975103362781914,1
"s__catus",0.00136866466675467,0.00125536862010083,-0.124562908398267,-0.00356718192627825,0.983471762649261,1
"s__distasonis",0.00785585443686533,0.00501865231066002,-0.646364393527291,0.00356718192627814,0.986915644774728,1
"s__zeae",0.000966893937860939,0.000486637799514468,-0.98903900356062,0,1,1
