feature,Estimate_group,pvalue,fdr,fold_change,log2FC,method,vs
Asap2,Group,0.8605,0.9477,1.011,0.0157,DESeq2,DMSO vs T4400
Asap3,Group,0.4447,0.7014,1.0485,0.0683,DESeq2,DMSO vs T4400
Asb1,Group,0.3914,0.6602,1.0901,0.1245,DESeq2,DMSO vs T4400
Asb10,Group,0.6742,0.8523,1.3971,0.4825,DESeq2,DMSO vs T4400
Asb11,Group,0.4805,0.7284,0.7249,-0.4641,DESeq2,DMSO vs T4400
Asb12,Group,0.8741,0.9516,0.8356,-0.2591,DESeq2,DMSO vs T4400
Asb13,Group,0.539,0.7675,1.0586,0.0822,DESeq2,DMSO vs T4400
Asb14,Group,0.1854,0.4426,0.7594,-0.3971,DESeq2,DMSO vs T4400
Asb15,Group,0.7114,0.8719,0.8507,-0.2333,DESeq2,DMSO vs T4400
Asb16,Group,0.9218,0.9684,1.0171,0.0245,DESeq2,DMSO vs T4400
Asb2,Group,0.0005,0.0101,0.5532,-0.8542,DESeq2,DMSO vs T4400
Asb3,Group,0.7678,0.9015,1.0161,0.023,DESeq2,DMSO vs T4400
Asb5,Group,0.0039,0.039,1.1918,0.2531,DESeq2,DMSO vs T4400
Asb6,Group,0.8936,0.9583,1.008,0.0114,DESeq2,DMSO vs T4400
Asb7,Group,0.0233,0.1227,1.1437,0.1937,DESeq2,DMSO vs T4400
Asb8,Group,0.043,0.1818,0.9032,-0.147,DESeq2,DMSO vs T4400
Ascc1,Group,0.0252,0.1293,1.1876,0.2481,DESeq2,DMSO vs T4400
Ascc2,Group,0.4827,0.7309,1.0418,0.0591,DESeq2,DMSO vs T4400
Ascc3,Group,0.7302,0.88,1.0476,0.0671,DESeq2,DMSO vs T4400
Ascl3,Group,0.0662,0.2386,4.2586,2.0904,DESeq2,DMSO vs T4400
Ascl5,Group,0.5046,0.7451,1.8289,0.871,DESeq2,DMSO vs T4400
Asf1a,Group,0.5401,0.768,0.9597,-0.0594,DESeq2,DMSO vs T4400
Asf1b,Group,0.0017,0.023,0.435,-1.201,DESeq2,DMSO vs T4400
Asgr1,Group,0.9974,0.9988,0.9984,-0.0023,DESeq2,DMSO vs T4400
Asgr2,Group,0.3967,0.6649,0.6691,-0.5797,DESeq2,DMSO vs T4400
Ash1l,Group,0.2487,0.5245,1.1554,0.2084,DESeq2,DMSO vs T4400
Ash2l,Group,0.023,0.1222,0.8968,-0.1572,DESeq2,DMSO vs T4400
Asic1,Group,0.0108,0.0744,1.2386,0.3088,DESeq2,DMSO vs T4400
Asic3,Group,0.121,0.3421,1.7932,0.8425,DESeq2,DMSO vs T4400
Asic4,Group,0.5298,0.7611,2.1179,1.0826,DESeq2,DMSO vs T4400
Asl,Group,0.2008,0.4635,1.0743,0.1034,DESeq2,DMSO vs T4400
Asmt,Group,0.5654,0.786,0.5004,-0.999,DESeq2,DMSO vs T4400
Asna1,Group,0.7983,0.9208,0.9864,-0.0198,DESeq2,DMSO vs T4400
Asns,Group,0,0.0017,1.7966,0.8453,DESeq2,DMSO vs T4400
Asnsd1,Group,0.0377,0.1681,1.1095,0.15,DESeq2,DMSO vs T4400
Aspa,Group,0.0022,0.0274,0.5742,-0.8003,DESeq2,DMSO vs T4400
Aspg,Group,0.5872,0.8024,0.7621,-0.392,DESeq2,DMSO vs T4400
Asph,Group,0.5688,0.7879,1.0394,0.0558,DESeq2,DMSO vs T4400
Asphd2,Group,0.4638,0.7156,0.8607,-0.2163,DESeq2,DMSO vs T4400
Aspm,Group,0.0028,0.0313,0.5764,-0.7949,DESeq2,DMSO vs T4400
Aspn,Group,0.156,0.3986,0.7441,-0.4265,DESeq2,DMSO vs T4400
Asprv1,Group,0.8403,0.943,1.0627,0.0877,DESeq2,DMSO vs T4400
Aspscr1,Group,0.6986,0.8635,1.0233,0.0333,DESeq2,DMSO vs T4400
Asrgl1,Group,0.2071,0.4722,0.8551,-0.2258,DESeq2,DMSO vs T4400
Ass1,Group,0.932,0.9722,0.8618,-0.2145,DESeq2,DMSO vs T4400
Aste1,Group,0.6122,0.8186,0.9628,-0.0546,DESeq2,DMSO vs T4400
Astn1,Group,0.1872,0.445,1.9555,0.9675,DESeq2,DMSO vs T4400
Asun,Group,0.175,0.4282,0.9315,-0.1023,DESeq2,DMSO vs T4400
Asxl1,Group,0.9036,0.9617,0.9951,-0.0071,DESeq2,DMSO vs T4400
Asxl2,Group,0.0786,0.2632,1.1986,0.2613,DESeq2,DMSO vs T4400
Atad1,Group,0.0021,0.0266,1.1803,0.2391,DESeq2,DMSO vs T4400
Atad2,Group,0.0792,0.2644,0.7307,-0.4527,DESeq2,DMSO vs T4400
Atad2b,Group,0.5013,0.7433,1.0872,0.1206,DESeq2,DMSO vs T4400
Atad3a,Group,0.084,0.2747,0.8949,-0.1602,DESeq2,DMSO vs T4400
Atad3aos,Group,0.4506,0.7056,0.7861,-0.3472,DESeq2,DMSO vs T4400
Atad5,Group,0.061,0.2265,0.7108,-0.4925,DESeq2,DMSO vs T4400
Atat1,Group,0.7384,0.8856,1.0199,0.0284,DESeq2,DMSO vs T4400
Atcay,Group,0.8664,0.9497,0.916,-0.1265,DESeq2,DMSO vs T4400
Atcayos,Group,0.4235,0.686,0.7859,-0.3476,DESeq2,DMSO vs T4400
Ate1,Group,0.3221,0.6009,1.0648,0.0905,DESeq2,DMSO vs T4400
Atf1,Group,0.0001,0.0047,1.1838,0.2434,DESeq2,DMSO vs T4400
Atf2,Group,0.151,0.3905,1.1769,0.235,DESeq2,DMSO vs T4400
Atf3,Group,2.7107e-06,0.0006,2.6906,1.4279,DESeq2,DMSO vs T4400
Atf4,Group,0.0002,0.0059,1.4102,0.4959,DESeq2,DMSO vs T4400
Atf5,Group,0,0.0015,1.53,0.6135,DESeq2,DMSO vs T4400
Atf6,Group,0.0003,0.0079,1.3122,0.392,DESeq2,DMSO vs T4400
Atf6b,Group,0.0189,0.1077,1.1543,0.2071,DESeq2,DMSO vs T4400
Atf7,Group,0.1118,0.3267,1.054,0.0758,DESeq2,DMSO vs T4400
Atf7ip,Group,0.9433,0.9759,1.004,0.0058,DESeq2,DMSO vs T4400
Atg10,Group,0.2112,0.4772,1.0888,0.1228,DESeq2,DMSO vs T4400
Atg101,Group,0.7735,0.9055,0.9852,-0.0215,DESeq2,DMSO vs T4400
Atg12,Group,0.0012,0.0196,1.2075,0.272,DESeq2,DMSO vs T4400
Atg13,Group,0.0157,0.0953,1.2054,0.2695,DESeq2,DMSO vs T4400
Atg14,Group,0,0.0028,1.3128,0.3926,DESeq2,DMSO vs T4400
Atg16l1,Group,0.6435,0.8391,1.0241,0.0343,DESeq2,DMSO vs T4400
Atg16l2,Group,0.4564,0.7109,0.9472,-0.0783,DESeq2,DMSO vs T4400
Atg2a,Group,0.0092,0.0671,1.2168,0.2831,DESeq2,DMSO vs T4400
Atg2b,Group,0.0737,0.2539,1.0829,0.1148,DESeq2,DMSO vs T4400
Atg3,Group,0.8354,0.9399,1.0102,0.0146,DESeq2,DMSO vs T4400
Atg4a,Group,0.0391,0.172,0.365,-1.4542,DESeq2,DMSO vs T4400
Atg4b,Group,0.5486,0.7741,0.9671,-0.0482,DESeq2,DMSO vs T4400
Atg4c,Group,0.0533,0.2084,1.1098,0.1503,DESeq2,DMSO vs T4400
Atg4d,Group,0.8713,0.9507,1.0113,0.0162,DESeq2,DMSO vs T4400
Atg5,Group,0.5033,0.7442,1.0254,0.0362,DESeq2,DMSO vs T4400
Atg7,Group,0.865,0.9495,1.0119,0.0171,DESeq2,DMSO vs T4400
Atg9a,Group,0.3494,0.6252,1.0473,0.0667,DESeq2,DMSO vs T4400
Atg9b,Group,0.2037,0.4677,1.1733,0.2306,DESeq2,DMSO vs T4400
Athl1,Group,0.0521,0.2053,0.9109,-0.1346,DESeq2,DMSO vs T4400
Atic,Group,0.0825,0.2713,0.8625,-0.2135,DESeq2,DMSO vs T4400
Atl1,Group,0.1991,0.4614,1.1788,0.2373,DESeq2,DMSO vs T4400
Atl2,Group,0.2322,0.5038,0.9256,-0.1115,DESeq2,DMSO vs T4400
Atl3,Group,0.9879,0.9945,1.001,0.0015,DESeq2,DMSO vs T4400
Atm,Group,0.1942,0.4544,1.1629,0.2177,DESeq2,DMSO vs T4400
Atmin,Group,0.136,0.3667,1.0787,0.1093,DESeq2,DMSO vs T4400
Atn1,Group,0.4353,0.6942,1.0361,0.0512,DESeq2,DMSO vs T4400
Atoh8,Group,7.0646e-07,0.0003,0.7906,-0.339,DESeq2,DMSO vs T4400
Atox1,Group,0.0619,0.2289,0.9178,-0.1238,DESeq2,DMSO vs T4400
Atp10a,Group,0.5194,0.755,0.9646,-0.0521,DESeq2,DMSO vs T4400
Atp10b,Group,0.9873,0.9942,1.0047,0.0068,DESeq2,DMSO vs T4400
Atp10d,Group,0.2582,0.5354,1.0742,0.1032,DESeq2,DMSO vs T4400
Atp11a,Group,0.0002,0.0071,1.2711,0.346,DESeq2,DMSO vs T4400
Atp11b,Group,0.1621,0.4083,1.1679,0.224,DESeq2,DMSO vs T4400
Atp11c,Group,0.5816,0.7981,1.0821,0.1138,DESeq2,DMSO vs T4400
Atp13a1,Group,0.5888,0.8031,1.0241,0.0343,DESeq2,DMSO vs T4400
Atp13a2,Group,0.3158,0.5938,1.0708,0.0986,DESeq2,DMSO vs T4400
Atp13a3,Group,0.4068,0.6736,1.082,0.1137,DESeq2,DMSO vs T4400
Atp13a4,Group,0.2681,0.5462,5.7409,2.5213,DESeq2,DMSO vs T4400
Atp13a5,Group,0.8883,0.9568,1.0426,0.0601,DESeq2,DMSO vs T4400
