feature,Estimate_group,pvalue,fdr,fold_change,log2FC,method,vs
Hist1h2an,Group,0.7197,0.8758,0.5209,-0.9409,DESeq2,DMSO vs T4400
Hist1h2bb,Group,0.0133,0.0855,4.8194,2.2688,DESeq2,DMSO vs T4400
Hist1h2bc,Group,0.1242,0.3475,1.1386,0.1873,DESeq2,DMSO vs T4400
Hist1h2be,Group,0.4483,0.7043,1.178,0.2363,DESeq2,DMSO vs T4400
Hist1h2bf,Group,0.4705,0.7213,2.5757,1.365,DESeq2,DMSO vs T4400
Hist1h2bg,Group,0.1937,0.4538,1.3522,0.4354,DESeq2,DMSO vs T4400
Hist1h2bh,Group,0.8048,0.9247,0.8774,-0.1887,DESeq2,DMSO vs T4400
Hist1h2bj,Group,0.1324,0.3614,0.3295,-1.6015,DESeq2,DMSO vs T4400
Hist1h2bk,Group,0.7712,0.9035,0.7917,-0.337,DESeq2,DMSO vs T4400
Hist1h2bl,Group,0.7441,0.889,1.3793,0.464,DESeq2,DMSO vs T4400
Hist1h2bm,Group,0.5312,0.7619,0.4632,-1.1104,DESeq2,DMSO vs T4400
Hist1h2bn,Group,0.2219,0.4914,3.3393,1.7396,DESeq2,DMSO vs T4400
Hist1h2bp,Group,0.8681,0.95,0.8441,-0.2445,DESeq2,DMSO vs T4400
Hist1h3a,Group,0.1349,0.3654,0.1955,-2.3547,DESeq2,DMSO vs T4400
Hist1h3b,Group,0.6242,0.8254,0.71,-0.4941,DESeq2,DMSO vs T4400
Hist1h3c,Group,0.4029,0.6702,0.5873,-0.7679,DESeq2,DMSO vs T4400
Hist1h3d,Group,0.9916,0.9959,0.9957,-0.0062,DESeq2,DMSO vs T4400
Hist1h3e,Group,0.2732,0.5517,0.3544,-1.4967,DESeq2,DMSO vs T4400
Hist1h3f,Group,0.8676,0.9499,0.8687,-0.2031,DESeq2,DMSO vs T4400
Hist1h3g,Group,0.0116,0.078,0.0875,-3.5141,DESeq2,DMSO vs T4400
Hist1h3h,Group,0.8854,0.9557,1.2231,0.2905,DESeq2,DMSO vs T4400
Hist1h3i,Group,0.1356,0.3662,0.3109,-1.6852,DESeq2,DMSO vs T4400
Hist1h4a,Group,0.3957,0.6642,1.6913,0.7581,DESeq2,DMSO vs T4400
Hist1h4b,Group,0.5303,0.7614,2.0721,1.0511,DESeq2,DMSO vs T4400
Hist1h4c,Group,0.5393,0.7678,0.6295,-0.6677,DESeq2,DMSO vs T4400
Hist1h4d,Group,0.7986,0.9208,1.1766,0.2346,DESeq2,DMSO vs T4400
Hist1h4f,Group,0.9022,0.9616,0.8128,-0.2991,DESeq2,DMSO vs T4400
Hist1h4h,Group,0.8702,0.9507,0.9371,-0.0937,DESeq2,DMSO vs T4400
Hist1h4i,Group,0.115,0.3321,1.2273,0.2955,DESeq2,DMSO vs T4400
Hist1h4k,Group,0.9434,0.9759,0.9314,-0.1025,DESeq2,DMSO vs T4400
Hist1h4n,Group,0.522,0.7569,1.4133,0.4991,DESeq2,DMSO vs T4400
Hist2h2ab,Group,0.5582,0.781,0.3721,-1.4262,DESeq2,DMSO vs T4400
Hist2h2ac,Group,0.7536,0.8936,0.695,-0.5249,DESeq2,DMSO vs T4400
Hist2h2bb,Group,0.0749,0.2566,1.8516,0.8887,DESeq2,DMSO vs T4400
Hist2h2be,Group,0.2226,0.492,0.8124,-0.2997,DESeq2,DMSO vs T4400
Hist2h3b,Group,0.9605,0.9811,0.9235,-0.1149,DESeq2,DMSO vs T4400
Hist2h4,Group,0.0289,0.1413,3.6308,1.8603,DESeq2,DMSO vs T4400
Hist3h2a,Group,0.0017,0.0234,1.3426,0.425,DESeq2,DMSO vs T4400
Hist3h2ba,Group,0.0561,0.2148,6.9459,2.7962,DESeq2,DMSO vs T4400
Hist3h2bb-ps,Group,0.936,0.9732,0.9068,-0.1411,DESeq2,DMSO vs T4400
Hist4h4,Group,0.7788,0.9086,1.2042,0.2681,DESeq2,DMSO vs T4400
Hivep1,Group,0.0685,0.2432,1.263,0.3369,DESeq2,DMSO vs T4400
Hivep2,Group,0.0042,0.0407,1.3725,0.4568,DESeq2,DMSO vs T4400
Hivep3,Group,0.808,0.9265,1.0349,0.0495,DESeq2,DMSO vs T4400
Hjurp,Group,0.0301,0.1451,0.6528,-0.6152,DESeq2,DMSO vs T4400
Hk1,Group,0.7223,0.8759,1.0176,0.0252,DESeq2,DMSO vs T4400
Hk1os,Group,0.5234,0.758,1.3022,0.381,DESeq2,DMSO vs T4400
Hk2,Group,4.0748e-07,0.0002,2.0183,1.0131,DESeq2,DMSO vs T4400
Hkdc1,Group,0.6145,0.8195,1.6629,0.7337,DESeq2,DMSO vs T4400
Hlcs,Group,0.0004,0.0091,1.254,0.3266,DESeq2,DMSO vs T4400
Hlf,Group,0.0008,0.0146,5.3108,2.4089,DESeq2,DMSO vs T4400
Hltf,Group,0.0963,0.2994,1.2504,0.3224,DESeq2,DMSO vs T4400
Hlx,Group,0.377,0.6472,0.9327,-0.1005,DESeq2,DMSO vs T4400
Hmbox1,Group,0.7791,0.9086,1.0263,0.0375,DESeq2,DMSO vs T4400
Hmbs,Group,0.7643,0.8991,0.9824,-0.0257,DESeq2,DMSO vs T4400
Hmces,Group,0.0685,0.2433,0.9056,-0.1431,DESeq2,DMSO vs T4400
Hmcn1,Group,0.5143,0.7514,1.1015,0.1394,DESeq2,DMSO vs T4400
Hmg20a,Group,0.8904,0.9576,1.0066,0.0094,DESeq2,DMSO vs T4400
Hmg20b,Group,0.0046,0.0432,0.8611,-0.2158,DESeq2,DMSO vs T4400
Hmga1,Group,0.4087,0.6749,1.2284,0.2968,DESeq2,DMSO vs T4400
Hmga2,Group,0,0.0021,1.57,0.6508,DESeq2,DMSO vs T4400
Hmga2-ps1,Group,0.0279,0.1384,1.2292,0.2977,DESeq2,DMSO vs T4400
Hmgb1,Group,0.0064,0.0532,0.7643,-0.3878,DESeq2,DMSO vs T4400
Hmgb1-rs17,Group,0.8576,0.9473,1.3893,0.4743,DESeq2,DMSO vs T4400
Hmgb2,Group,0.0048,0.044,0.6333,-0.6591,DESeq2,DMSO vs T4400
Hmgb3,Group,0.0024,0.0286,0.6341,-0.6571,DESeq2,DMSO vs T4400
Hmgcl,Group,0.613,0.8191,0.9704,-0.0434,DESeq2,DMSO vs T4400
Hmgcll1,Group,0.9102,0.9655,0.9481,-0.0768,DESeq2,DMSO vs T4400
Hmgcr,Group,0.3526,0.6285,0.9334,-0.0995,DESeq2,DMSO vs T4400
Hmgcs1,Group,0.6511,0.8427,1.036,0.0511,DESeq2,DMSO vs T4400
Hmgcs2,Group,0.8707,0.9507,1.2085,0.2732,DESeq2,DMSO vs T4400
Hmgn1,Group,0.0001,0.0048,0.8131,-0.2985,DESeq2,DMSO vs T4400
Hmgn2,Group,0.0004,0.0092,0.6664,-0.5854,DESeq2,DMSO vs T4400
Hmgn3,Group,0.0501,0.201,0.8827,-0.1799,DESeq2,DMSO vs T4400
Hmgn5,Group,0.0878,0.2823,1.2736,0.3489,DESeq2,DMSO vs T4400
Hmgxb3,Group,0.6048,0.813,1.0328,0.0466,DESeq2,DMSO vs T4400
Hmgxb4,Group,0.863,0.9489,1.0134,0.0191,DESeq2,DMSO vs T4400
Hmha1,Group,0.0001,0.0041,2.2374,1.1619,DESeq2,DMSO vs T4400
Hmmr,Group,0.0019,0.0251,0.5962,-0.746,DESeq2,DMSO vs T4400
Hmox1,Group,0.0013,0.0204,2.2138,1.1465,DESeq2,DMSO vs T4400
Hmox2,Group,0.3236,0.602,0.9473,-0.078,DESeq2,DMSO vs T4400
Hmx2,Group,0.1349,0.3654,0.6318,-0.6624,DESeq2,DMSO vs T4400
Hn1,Group,0.0004,0.0094,0.7963,-0.3286,DESeq2,DMSO vs T4400
Hn1l,Group,0.0029,0.0319,0.7373,-0.4397,DESeq2,DMSO vs T4400
Hnf1a,Group,0.6988,0.8636,0.7725,-0.3723,DESeq2,DMSO vs T4400
Hnf1b,Group,0.6773,0.8543,1.3786,0.4632,DESeq2,DMSO vs T4400
Hnf4a,Group,0.1159,0.3334,0.1061,-3.2364,DESeq2,DMSO vs T4400
Hnf4aos,Group,0.5152,0.7519,0.4161,-1.2649,DESeq2,DMSO vs T4400
Hnmt,Group,0.0463,0.1911,1.8582,0.8939,DESeq2,DMSO vs T4400
Hnrnpa0,Group,0.048,0.1958,0.9016,-0.1494,DESeq2,DMSO vs T4400
Hnrnpa1,Group,0.3248,0.6036,0.8774,-0.1888,DESeq2,DMSO vs T4400
Hnrnpa2b1,Group,0.0707,0.248,0.8857,-0.1751,DESeq2,DMSO vs T4400
Hnrnpa3,Group,0.1865,0.4442,0.885,-0.1762,DESeq2,DMSO vs T4400
Hnrnpab,Group,0.0054,0.0474,0.8425,-0.2472,DESeq2,DMSO vs T4400
Hnrnpc,Group,0.006,0.051,0.8379,-0.2551,DESeq2,DMSO vs T4400
Hnrnpd,Group,0.0039,0.039,0.8225,-0.282,DESeq2,DMSO vs T4400
Hnrnpdl,Group,0.1168,0.335,0.8709,-0.1994,DESeq2,DMSO vs T4400
Hnrnpf,Group,0.0952,0.2974,0.8102,-0.3037,DESeq2,DMSO vs T4400
Hnrnph1,Group,0.0203,0.1125,0.8443,-0.2441,DESeq2,DMSO vs T4400
Hnrnph2,Group,0.7469,0.8905,1.0194,0.0278,DESeq2,DMSO vs T4400
Hnrnph3,Group,0.2942,0.5727,0.8949,-0.1603,DESeq2,DMSO vs T4400
Hnrnpk,Group,0.0072,0.0574,0.866,-0.2076,DESeq2,DMSO vs T4400
Hnrnpl,Group,0.0001,0.0051,0.8152,-0.2949,DESeq2,DMSO vs T4400
Hnrnpll,Group,0.2926,0.5714,0.9498,-0.0743,DESeq2,DMSO vs T4400
Hnrnpm,Group,0.2304,0.5021,0.9149,-0.1282,DESeq2,DMSO vs T4400
Hnrnpr,Group,0.0775,0.2612,0.9087,-0.1381,DESeq2,DMSO vs T4400
Hnrnpu,Group,0.9598,0.9809,0.9968,-0.0046,DESeq2,DMSO vs T4400
Hnrnpul1,Group,0.0144,0.0897,0.8584,-0.2203,DESeq2,DMSO vs T4400
Hnrnpul2,Group,0.0591,0.2215,0.9115,-0.1337,DESeq2,DMSO vs T4400
Hoga1,Group,0.0216,0.1172,1.2959,0.3739,DESeq2,DMSO vs T4400
Homer1,Group,0.8847,0.9554,0.9844,-0.0227,DESeq2,DMSO vs T4400
Homer3,Group,0.3518,0.6278,1.0659,0.0921,DESeq2,DMSO vs T4400
Homez,Group,0.9459,0.9767,0.9944,-0.0081,DESeq2,DMSO vs T4400
Hook1,Group,0.3607,0.6318,1.3956,0.4809,DESeq2,DMSO vs T4400
Hook2,Group,0.0046,0.0433,1.2158,0.2819,DESeq2,DMSO vs T4400
Hook3,Group,0.1145,0.3315,1.2231,0.2905,DESeq2,DMSO vs T4400
Hopx,Group,6.5056e-09,0,0.5543,-0.8513,DESeq2,DMSO vs T4400
Hormad2,Group,0.6948,0.8611,0.8511,-0.2326,DESeq2,DMSO vs T4400
Hotair,Group,0.7773,0.9074,1.0371,0.0526,DESeq2,DMSO vs T4400
Hotairm1,Group,0.5376,0.7659,0.9312,-0.1029,DESeq2,DMSO vs T4400
Hoxa1,Group,0.0138,0.0874,0.781,-0.3566,DESeq2,DMSO vs T4400
Hoxa10,Group,0.7295,0.88,0.9785,-0.0313,DESeq2,DMSO vs T4400
Hoxa11,Group,0.7669,0.9011,1.0272,0.0386,DESeq2,DMSO vs T4400
Hoxa11os,Group,0.191,0.45,1.1124,0.1536,DESeq2,DMSO vs T4400
Hoxa13,Group,0.0111,0.0759,0.6842,-0.5476,DESeq2,DMSO vs T4400
Hoxa2,Group,0.8973,0.9597,1.021,0.03,DESeq2,DMSO vs T4400
Hoxa3,Group,0.5251,0.7585,0.9238,-0.1144,DESeq2,DMSO vs T4400
Hoxa4,Group,0.5141,0.7514,0.8781,-0.1875,DESeq2,DMSO vs T4400
Hoxa5,Group,0.1106,0.3241,0.8332,-0.2632,DESeq2,DMSO vs T4400
Hoxa6,Group,0.4737,0.7233,0.8662,-0.2073,DESeq2,DMSO vs T4400
Hoxa7,Group,0.7871,0.914,0.9753,-0.0361,DESeq2,DMSO vs T4400
Hoxa9,Group,0.7451,0.8893,0.9744,-0.0375,DESeq2,DMSO vs T4400
Hoxaas2,Group,0.5208,0.7555,0.8672,-0.2055,DESeq2,DMSO vs T4400
Hoxaas3,Group,0.069,0.2443,0.4857,-1.0419,DESeq2,DMSO vs T4400
Hoxb13,Group,0.5586,0.7811,0.3721,-1.4261,DESeq2,DMSO vs T4400
Hoxb2,Group,0.8724,0.951,0.8573,-0.222,DESeq2,DMSO vs T4400
Hoxb3,Group,0.1154,0.3325,1.4545,0.5405,DESeq2,DMSO vs T4400
Hoxb4,Group,0.3038,0.5827,0.7826,-0.3536,DESeq2,DMSO vs T4400
Hoxb5,Group,0.334,0.6107,0.4869,-1.0382,DESeq2,DMSO vs T4400
Hoxb6,Group,0.0966,0.2998,0.3319,-1.591,DESeq2,DMSO vs T4400
Hoxb7,Group,0.5115,0.7497,1.5251,0.6089,DESeq2,DMSO vs T4400
Hoxb8,Group,0.8802,0.9537,1.2343,0.3037,DESeq2,DMSO vs T4400
Hoxb9,Group,0.9281,0.9711,0.8545,-0.2269,DESeq2,DMSO vs T4400
Hoxc10,Group,0.0011,0.0176,0.8601,-0.2175,DESeq2,DMSO vs T4400
Hoxc11,Group,0.042,0.1789,0.8702,-0.2006,DESeq2,DMSO vs T4400
Hoxc12,Group,0.05,0.2005,0.7176,-0.4788,DESeq2,DMSO vs T4400
Hoxc13,Group,0.8405,0.9431,0.984,-0.0233,DESeq2,DMSO vs T4400
Hoxc4,Group,0.4756,0.7246,1.0505,0.071,DESeq2,DMSO vs T4400
Hoxc5,Group,0.5003,0.7426,0.8892,-0.1694,DESeq2,DMSO vs T4400
Hoxc6,Group,0.0006,0.0116,1.3348,0.4166,DESeq2,DMSO vs T4400
Hoxc8,Group,0.7019,0.8659,0.9383,-0.0919,DESeq2,DMSO vs T4400
Hoxc9,Group,0.212,0.4784,0.9082,-0.1389,DESeq2,DMSO vs T4400
Hp,Group,0.0004,0.01,13.1253,3.7143,DESeq2,DMSO vs T4400
Hp1bp3,Group,0.4216,0.6844,0.9605,-0.0582,DESeq2,DMSO vs T4400
Hpca,Group,0.357,0.6305,3.4631,1.7921,DESeq2,DMSO vs T4400
Hpcal1,Group,0.6855,0.8566,1.0209,0.0299,DESeq2,DMSO vs T4400
Hpd,Group,0.8695,0.9506,1.2107,0.2758,DESeq2,DMSO vs T4400
Hpdl,Group,0.97,0.9852,0.9917,-0.012,DESeq2,DMSO vs T4400
Hpgd,Group,0.8398,0.9428,0.9784,-0.0315,DESeq2,DMSO vs T4400
Hpgds,Group,0.9496,0.9781,0.9308,-0.1035,DESeq2,DMSO vs T4400
Hpn,Group,0.955,0.98,0.9134,-0.1307,DESeq2,DMSO vs T4400
Hprt,Group,0.3463,0.6223,0.9475,-0.0778,DESeq2,DMSO vs T4400
Hps1,Group,0.0037,0.0376,1.351,0.434,DESeq2,DMSO vs T4400
Hps3,Group,0.1047,0.3144,1.12,0.1635,DESeq2,DMSO vs T4400
Hps4,Group,0.4668,0.718,1.0439,0.062,DESeq2,DMSO vs T4400
Hps5,Group,0.7358,0.8838,0.9866,-0.0195,DESeq2,DMSO vs T4400
Hps6,Group,0.0767,0.2597,0.9189,-0.1221,DESeq2,DMSO vs T4400
Hpse,Group,0.0415,0.1777,1.2612,0.3348,DESeq2,DMSO vs T4400
Hpx,Group,0.7884,0.9147,1.0961,0.1324,DESeq2,DMSO vs T4400
Hr,Group,0.0005,0.0115,0.6724,-0.5726,DESeq2,DMSO vs T4400
Hras,Group,0.0718,0.2501,0.9016,-0.1494,DESeq2,DMSO vs T4400
Hrasls,Group,0.0164,0.0981,0.375,-1.4151,DESeq2,DMSO vs T4400
Hrc,Group,0.3421,0.6185,0.8999,-0.1521,DESeq2,DMSO vs T4400
Hrct1,Group,0.2153,0.4826,0.7676,-0.3815,DESeq2,DMSO vs T4400
Hrg,Group,0.791,0.9157,0.7044,-0.5054,DESeq2,DMSO vs T4400
Hrh1,Group,0.2177,0.486,0.7222,-0.4695,DESeq2,DMSO vs T4400
Hrh3,Group,0.7482,0.8911,0.8589,-0.2194,DESeq2,DMSO vs T4400
Hrsp12,Group,0.0952,0.2975,1.104,0.1427,DESeq2,DMSO vs T4400
Hs1bp3,Group,0.019,0.1077,1.1699,0.2264,DESeq2,DMSO vs T4400
Hs2st1,Group,0.1605,0.4054,0.9368,-0.0941,DESeq2,DMSO vs T4400
Hs3st1,Group,0.0402,0.1746,1.3929,0.4781,DESeq2,DMSO vs T4400
Hs3st3a1,Group,0.3048,0.5837,0.8579,-0.2211,DESeq2,DMSO vs T4400
Hs3st3b1,Group,0.0585,0.2203,0.7798,-0.3588,DESeq2,DMSO vs T4400
Hs3st5,Group,0.6115,0.8179,1.2059,0.2702,DESeq2,DMSO vs T4400
Hs6st1,Group,0.6665,0.849,1.0198,0.0283,DESeq2,DMSO vs T4400
Hs6st2,Group,0.2478,0.5241,0.3573,-1.4847,DESeq2,DMSO vs T4400
Hsbp1,Group,0.0276,0.1376,0.9154,-0.1275,DESeq2,DMSO vs T4400
Hsbp1l1,Group,0.5897,0.8034,1.3431,0.4256,DESeq2,DMSO vs T4400
Hscb,Group,0.0044,0.0423,1.3233,0.4041,DESeq2,DMSO vs T4400
Hsd11b1,Group,0.0005,0.0104,1.5978,0.6761,DESeq2,DMSO vs T4400
Hsd11b2,Group,0.3042,0.583,0.7342,-0.4457,DESeq2,DMSO vs T4400
Hsd17b1,Group,0.0063,0.0527,2.2503,1.1701,DESeq2,DMSO vs T4400
Hsd17b10,Group,0.0551,0.2125,0.8847,-0.1768,DESeq2,DMSO vs T4400
Hsd17b11,Group,0.0005,0.0103,1.3184,0.3988,DESeq2,DMSO vs T4400
Hsd17b12,Group,0.0003,0.0079,1.2674,0.3419,DESeq2,DMSO vs T4400
Hsd17b13,Group,0.3523,0.6284,1.4439,0.53,DESeq2,DMSO vs T4400
Hsd17b14,Group,0.0072,0.0574,2.1306,1.0913,DESeq2,DMSO vs T4400
Hsd17b2,Group,0.8782,0.953,1.2876,0.3647,DESeq2,DMSO vs T4400
Hsd17b4,Group,0.279,0.5571,0.9484,-0.0765,DESeq2,DMSO vs T4400
Hsd17b7,Group,0.0034,0.0356,1.195,0.2571,DESeq2,DMSO vs T4400
Hsd3b3,Group,0.7535,0.8936,1.2707,0.3456,DESeq2,DMSO vs T4400
Hsd3b4,Group,0.8582,0.9473,1.3879,0.4729,DESeq2,DMSO vs T4400
Hsd3b7,Group,0.0002,0.0058,1.5414,0.6243,DESeq2,DMSO vs T4400
Hsdl1,Group,0.1429,0.3781,1.1104,0.1511,DESeq2,DMSO vs T4400
Hsdl2,Group,0.1226,0.3446,0.9198,-0.1206,DESeq2,DMSO vs T4400
Hsf1,Group,0.0395,0.1728,0.9089,-0.1377,DESeq2,DMSO vs T4400
Hsf2,Group,0.3449,0.6212,1.0399,0.0564,DESeq2,DMSO vs T4400
Hsf2bp,Group,0.0107,0.0742,0.6909,-0.5334,DESeq2,DMSO vs T4400
Hsf4,Group,0.7892,0.9148,1.0214,0.0306,DESeq2,DMSO vs T4400
Hsf5,Group,0.7463,0.8901,0.7872,-0.3453,DESeq2,DMSO vs T4400
Hsh2d,Group,0.4072,0.674,1.9233,0.9436,DESeq2,DMSO vs T4400
Hsp90aa1,Group,0.3844,0.6537,1.092,0.1269,DESeq2,DMSO vs T4400
Hsp90ab1,Group,0.2064,0.4709,0.9586,-0.0609,DESeq2,DMSO vs T4400
Hsp90b1,Group,0.0002,0.006,1.5377,0.6207,DESeq2,DMSO vs T4400
Hspa12a,Group,0.2466,0.5227,0.9158,-0.1269,DESeq2,DMSO vs T4400
Hspa12b,Group,0.4715,0.722,0.9275,-0.1086,DESeq2,DMSO vs T4400
Hspa13,Group,0.0191,0.1082,1.2365,0.3063,DESeq2,DMSO vs T4400
Hspa14,Group,0.0884,0.2831,0.9061,-0.1423,DESeq2,DMSO vs T4400
Hspa1a,Group,0.4547,0.7091,1.0562,0.0788,DESeq2,DMSO vs T4400
Hspa1b,Group,0.5715,0.7902,0.9726,-0.0401,DESeq2,DMSO vs T4400
Hspa1l,Group,0.6299,0.8299,1.0476,0.0671,DESeq2,DMSO vs T4400
Hspa2,Group,0.2593,0.5368,0.9342,-0.0982,DESeq2,DMSO vs T4400
Hspa4,Group,0.7769,0.9073,1.0154,0.0221,DESeq2,DMSO vs T4400
Hspa4l,Group,0.0002,0.0067,1.2079,0.2725,DESeq2,DMSO vs T4400
Hspa5,Group,1.5603e-07,0.0001,1.8599,0.8952,DESeq2,DMSO vs T4400
Hspa8,Group,0.2368,0.5098,0.9327,-0.1005,DESeq2,DMSO vs T4400
Hspa9,Group,0.0385,0.1702,1.1589,0.2128,DESeq2,DMSO vs T4400
Hspb1,Group,0.5337,0.7635,1.0641,0.0897,DESeq2,DMSO vs T4400
Hspb11,Group,0.0393,0.1722,1.1821,0.2414,DESeq2,DMSO vs T4400
Hspb2,Group,0.0086,0.0641,0.705,-0.5042,DESeq2,DMSO vs T4400
Hspb3,Group,0.0788,0.2638,0.7466,-0.4216,DESeq2,DMSO vs T4400
Hspb6,Group,0,0.0023,0.6893,-0.5368,DESeq2,DMSO vs T4400
Hspb7,Group,0.1384,0.3709,0.8065,-0.3103,DESeq2,DMSO vs T4400
Hspb8,Group,0.6079,0.8151,0.9657,-0.0503,DESeq2,DMSO vs T4400
Hspb9,Group,0.6558,0.8443,0.8085,-0.3066,DESeq2,DMSO vs T4400
Hspbap1,Group,0.6968,0.8625,0.9641,-0.0527,DESeq2,DMSO vs T4400
Hspbp1,Group,0.0768,0.2598,0.9062,-0.142,DESeq2,DMSO vs T4400
Hspd1,Group,0.4927,0.7368,0.9608,-0.0577,DESeq2,DMSO vs T4400
Hspe1,Group,0.2761,0.5545,0.9489,-0.0756,DESeq2,DMSO vs T4400
Hspg2,Group,0.5446,0.7709,0.9571,-0.0632,DESeq2,DMSO vs T4400
Hsph1,Group,0.0791,0.2644,1.0747,0.1039,DESeq2,DMSO vs T4400
Htatip2,Group,0.0194,0.1093,1.3709,0.4551,DESeq2,DMSO vs T4400
Htatsf1,Group,0.4445,0.7012,1.0753,0.1047,DESeq2,DMSO vs T4400
Htr1b,Group,0.0121,0.0804,1.863,0.8976,DESeq2,DMSO vs T4400
Htr1d,Group,0.0049,0.0448,0.4877,-1.0361,DESeq2,DMSO vs T4400
Htr2a,Group,0.1102,0.3234,1.9075,0.9317,DESeq2,DMSO vs T4400
Htr2b,Group,0.0221,0.1188,0.682,-0.5521,DESeq2,DMSO vs T4400
Htr6,Group,0.499,0.7416,0.6958,-0.5232,DESeq2,DMSO vs T4400
Htr7,Group,0.7904,0.9155,1.0588,0.0825,DESeq2,DMSO vs T4400
Htra1,Group,0.4207,0.6836,0.9419,-0.0864,DESeq2,DMSO vs T4400
Htra2,Group,0.0413,0.1773,0.8712,-0.1989,DESeq2,DMSO vs T4400
Htra3,Group,0.0475,0.1947,0.8397,-0.252,DESeq2,DMSO vs T4400
Htra4,Group,0.3577,0.6305,1.3887,0.4737,DESeq2,DMSO vs T4400
Htt,Group,0.585,0.801,0.976,-0.0351,DESeq2,DMSO vs T4400
Hunk,Group,0.0098,0.0698,0.4977,-1.0066,DESeq2,DMSO vs T4400
Hus1,Group,0.9137,0.9671,1.0082,0.0118,DESeq2,DMSO vs T4400
Hus1b,Group,0.4869,0.7335,2.1105,1.0776,DESeq2,DMSO vs T4400
Huwe1,Group,0.2975,0.5757,1.0549,0.0772,DESeq2,DMSO vs T4400
Hvcn1,Group,0.0004,0.0093,2.0083,1.006,DESeq2,DMSO vs T4400
Hyal1,Group,0.0014,0.0209,1.5163,0.6006,DESeq2,DMSO vs T4400
Hyal2,Group,0.1136,0.3302,0.8942,-0.1613,DESeq2,DMSO vs T4400
Hyal3,Group,0.2961,0.5745,1.2828,0.3593,DESeq2,DMSO vs T4400
Hydin,Group,0.2541,0.5308,0.4498,-1.1527,DESeq2,DMSO vs T4400
Hyi,Group,0.2687,0.5467,0.9177,-0.1239,DESeq2,DMSO vs T4400
Hykk,Group,0.6928,0.8604,1.0487,0.0686,DESeq2,DMSO vs T4400
Hyls1,Group,0.0074,0.0583,0.7295,-0.455,DESeq2,DMSO vs T4400
Hyou1,Group,0.0006,0.0126,1.4735,0.5593,DESeq2,DMSO vs T4400
Hypk,Group,0.1326,0.3616,0.9202,-0.12,DESeq2,DMSO vs T4400
I830077J02Rik,Group,0.4484,0.7043,0.4208,-1.2487,DESeq2,DMSO vs T4400
Iah1,Group,0.4557,0.7103,1.0525,0.0739,DESeq2,DMSO vs T4400
Iapp,Group,0.7196,0.8758,0.5209,-0.941,DESeq2,DMSO vs T4400
Iars,Group,0.0051,0.0457,1.1418,0.1913,DESeq2,DMSO vs T4400
Iars2,Group,0.7762,0.9069,1.0145,0.0208,DESeq2,DMSO vs T4400
Iba57,Group,0.2431,0.5186,1.0988,0.1359,DESeq2,DMSO vs T4400
Ibtk,Group,0.1293,0.3565,1.0998,0.1373,DESeq2,DMSO vs T4400
Ica1,Group,0.1058,0.3157,1.115,0.1571,DESeq2,DMSO vs T4400
Ica1l,Group,0.5027,0.7439,0.8273,-0.2735,DESeq2,DMSO vs T4400
Icam1,Group,0.1682,0.4171,0.4575,-1.1283,DESeq2,DMSO vs T4400
Icam2,Group,0.6484,0.8418,0.7246,-0.4647,DESeq2,DMSO vs T4400
Icam4,Group,0.3217,0.6006,0.7307,-0.4527,DESeq2,DMSO vs T4400
Icam5,Group,0.6408,0.8371,0.9242,-0.1138,DESeq2,DMSO vs T4400
Ice1,Group,0.1875,0.4453,1.073,0.1017,DESeq2,DMSO vs T4400
Ice2,Group,0.36,0.6315,1.1031,0.1416,DESeq2,DMSO vs T4400
Ick,Group,0.0138,0.0877,1.1581,0.2118,DESeq2,DMSO vs T4400
Icmt,Group,0.5292,0.7609,1.0267,0.0381,DESeq2,DMSO vs T4400
Icosl,Group,0.6249,0.826,1.4931,0.5783,DESeq2,DMSO vs T4400
Ict1,Group,0.3799,0.6493,0.9592,-0.0601,DESeq2,DMSO vs T4400
Id1,Group,0.0316,0.1493,0.8504,-0.2339,DESeq2,DMSO vs T4400
Id2,Group,0.411,0.6763,0.9007,-0.151,DESeq2,DMSO vs T4400
Id3,Group,0.0002,0.0058,0.6784,-0.5599,DESeq2,DMSO vs T4400
Id4,Group,0.1735,0.4255,0.4938,-1.018,DESeq2,DMSO vs T4400
Ide,Group,0.0098,0.0699,1.1354,0.1832,DESeq2,DMSO vs T4400
Idh1,Group,0.4126,0.6772,0.9689,-0.0456,DESeq2,DMSO vs T4400
Idh2,Group,0.0015,0.0214,0.8647,-0.2098,DESeq2,DMSO vs T4400
Idh3a,Group,0.0078,0.0604,0.8253,-0.2771,DESeq2,DMSO vs T4400
Idh3b,Group,0.1847,0.4417,0.9525,-0.0702,DESeq2,DMSO vs T4400
Idh3g,Group,0.007,0.0564,0.8712,-0.1989,DESeq2,DMSO vs T4400
Idi1,Group,0.5845,0.8004,0.9246,-0.1131,DESeq2,DMSO vs T4400
Idi2,Group,0.8565,0.9473,1.3925,0.4777,DESeq2,DMSO vs T4400
Idnk,Group,0.1922,0.4518,1.1053,0.1445,DESeq2,DMSO vs T4400
Ido1,Group,0.76,0.8972,1.3871,0.472,DESeq2,DMSO vs T4400
Ido2,Group,0.2322,0.5038,1.9044,0.9293,DESeq2,DMSO vs T4400
Ids,Group,0.2733,0.5518,1.1161,0.1585,DESeq2,DMSO vs T4400
Idua,Group,0.0725,0.2514,1.1995,0.2624,DESeq2,DMSO vs T4400
