"genus","mean_rel_before","mean_rel_after","log2fc_rel","cliffs_delta","p","q"
"s__indistinctus",0.00148203093735329,0.000582655282469497,-1.34536025046105,0.0640432098765431,0.47685918348513,0.970406740152537
"s__formicilis",0.0113454890332221,0.016071593509214,0.502356793698031,-0.0910493827160493,0.500907691807088,0.970406740152537
"s__citroniae",0.00176983283391543,0.00109816586946565,-0.68801891614072,0.0555555555555556,0.506081654772433,0.970406740152537
"s__D168",0.00591502694290212,0.000680577182285638,-3.11767967959783,0.0462962962962963,0.59562700161939,0.970406740152537
"s__plebeius",0.00728149782913866,0.0066192112038167,-0.137556122412142,0.0617283950617284,0.622264697068954,0.970406740152537
"s__parvula",0.00212414432441367,0.00156490369718726,-0.440565332121664,0.0532407407407407,0.627678565507617,0.970406740152537
"s__finegoldii",0.000718187994653358,0.000335596271624516,-1.09534974180442,0.029320987654321,0.636380176168078,0.970406740152537
"s__rhizosphaerae",0.000727368003283146,0.000747633574298684,0.0395922037836114,-0.0470679012345679,0.642436604432512,0.970406740152537
"s__formicigenerans",0.00577292044284687,0.0068924124814145,0.255667115263287,-0.0617283950617284,0.645421473119703,0.970406740152537
"s__perfringens",0.00046520832480849,0.000549083880438466,0.238676861064696,0.0277777777777777,0.654722702102815,0.970406740152537
"s__costicola",5.89804610430862e-05,0.000136996331265655,1.20206539568447,-0.0262345679012346,0.67327604538419,0.970406740152537
"s__luteciae",0.000963824860350631,0.000376684023362141,-1.35308732444141,0.0262345679012346,0.67327604538419,0.970406740152537
"s__durum",3.95311214117538e-05,6.02872329962415e-05,0.596556478978746,-0.0262345679012346,0.67327604538419,0.970406740152537
"s__maritima",6.96706313904513e-05,8.78838812097976e-05,0.330811016439226,-0.0246913580246914,0.692030378093167,0.970406740152537
"s__yabuuchiae",0.00129228940431538,0.00124596397295007,-0.0526253649664609,-0.0432098765432098,0.715472197381738,0.970406740152537
"s__dolichum",0.000251192647661947,0.0010057801155722,1.99715050636509,-0.0324074074074074,0.730661250116018,0.970406740152537
"s__ramosum",0.00177411545739862,0.00171927341229235,-0.0452749852936193,0.0354938271604939,0.733589281330829,0.970406740152537
"s__C21_c20",0.000734572102782656,0.000536484046631693,-0.452644831422993,-0.0339506172839507,0.754820710527151,0.970406740152537
"s__putredinis",0.00452311544963992,0.0028819428979039,-0.650093483697497,0.0324074074074074,0.756484055216935,0.970406740152537
"s__caccae",0.00224570955081465,0.00171218327578944,-0.391134129717243,0.0308641975308641,0.757032048953532,0.970406740152537
"s__prausnitzii",0.0354561798136336,0.0413869741492981,0.223133841535047,-0.0416666666666666,0.764327113012925,0.970406740152537
"s__distasonis",0.00475885088087326,0.00608419840535975,0.354387925449187,-0.0401234567901234,0.767218311889092,0.970406740152537
"s__obeum",0.00114900601435543,0.00145918034502533,0.344505159283867,-0.0277777777777778,0.768858325879511,0.970406740152537
"s__torques",0.00205038315869007,0.00269848907989207,0.396089396225716,-0.029320987654321,0.788149774261882,0.970406740152537
"s__breve",0.000949440734180447,0.0008469149154507,-0.164677164857714,-0.0277777777777778,0.799349607896025,0.970406740152537
"s__",0.360011210416884,0.370281292871175,0.0405797217851534,-0.0339506172839507,0.808672283460448,0.970406740152537
"s__pullicaecorum",0.000992878854538615,9.47264963555207e-05,-3.37607979817558,0.0123456790123457,0.876972066732745,0.99430929067517
"s__longum",0.00909151832752915,0.0133263007065043,0.551632774712138,-0.0185185185185185,0.895996918387013,0.99430929067517
"s__producta",0.00193391571481553,0.00111382752109504,-0.795450200788858,0.0100308641975309,0.922084462307569,0.99430929067517
"s__mucilaginosa",0.00267342881518333,0.004571614774859,0.773788578550301,-0.0115740740740741,0.932837173234859,0.99430929067517
"s__bifidum",0.000767276488973325,0.000827225894611331,0.10839870495028,-0.00771604938271608,0.937767239234795,0.99430929067517
"s__parainfluenzae",0.00749854973595703,0.0092028409497282,0.295432072253828,0.0108024691358024,0.938313303805613,0.99430929067517
"s__moorei",0.000126202596420882,0.000101147968878594,-0.316467601127087,0.00462962962962954,0.958845086467136,0.99430929067517
"s__hathewayi",0.000691340450421593,0.000636994447202916,-0.117937773452068,-0.00308641975308643,0.975300038826637,0.99430929067517
"s__adolescentis",0.0334669977620296,0.0534983926534256,0.676740269825203,-0.00462962962962965,0.976679681768533,0.99430929067517
"s__biforme",0.00203754114784087,0.00292973546533993,0.523725675220987,-0.00308641975308643,0.979237012257403,0.99430929067517
"s__salivarius",0.000288187312487035,0.0012599796442171,2.12446882322951,-0.00154320987654322,0.991765510318365,0.99430929067517
"s__lenta",0.000972864370257989,0.000648027892082348,-0.585440383058363,0.00154320987654311,0.99430929067517,0.99430929067517
