"PCo1","PCo2","sample","Group"
-0.363506366490735,0.0365485366012763,"J_XYL_F_0058_01","IBS_before"
0.0595359971126289,0.0530974489196038,"J_XYL_F_0058_02","IBS_after"
0.122983837592341,0.0466582686250726,"J_XYL_F_0059_01","IBS_before"
0.0979310630349224,0.0169453218051647,"J_XYL_F_0059_02","IBS_after"
-0.0933550105021955,0.0705402756159371,"J_XYL_F_0060_01","IBS_before"
0.175792841395351,0.134653896904266,"J_XYL_F_0060_02","IBS_after"
0.246503758382679,0.111789698935696,"J_XYL_F_0061_01","IBS_before"
0.190010438822598,0.090979282261873,"J_XYL_F_0061_02","IBS_after"
0.181486751339583,0.000482465422580751,"J_XYL_F_0062_01","IBS_before"
0.194279101437579,0.029539954875412,"J_XYL_F_0062_02","IBS_after"
-0.398540501024881,0.016787830083883,"J_XYL_F_0064_01","IBS_before"
-0.335141987135876,0.0100274006196581,"J_XYL_F_0064_02","IBS_after"
0.105577671891587,0.00306919906657304,"J_XYL_F_0065_01","IBS_before"
0.129824263118519,0.0938108291250094,"J_XYL_F_0065_02","IBS_after"
-0.241078435151456,0.00893657991293607,"J_XYL_F_0066_01","IBS_before"
0.0135186390960502,-0.135367482506951,"J_XYL_F_0066_02","IBS_after"
-0.273550785623972,0.0831099114775054,"K_XYL_F_0001_01","UC_before"
0.144185226017153,0.176597550784962,"K_XYL_F_0001_02","UC_after"
-0.437776107951791,0.0243525203968052,"K_XYL_F_0002_01","UC_before"
0.0223084087257331,0.184371491856526,"K_XYL_F_0002_02","UC_after"
-0.0134830433695711,-0.11387297711291,"K_XYL_F_0003_01","UC_before"
-0.42198834967949,-0.00864822574491706,"K_XYL_F_0003_02","UC_after"
-0.294929363257221,0.077144896996199,"K_XYL_F_0004_01","UC_before"
-0.287448920965037,0.0825197825274504,"K_XYL_F_0004_02","UC_after"
0.0271895151454958,0.0820758047089334,"K_XYL_F_0005_01","UC_before"
0.276464272153843,0.104714346274815,"K_XYL_F_0005_02","UC_after"
-0.107244209045135,0.0963458278419231,"K_XYL_F_0007_01","UC_before"
-0.0245666533942855,0.0707800994756309,"K_XYL_F_0007_02","UC_after"
-0.0618529468944801,0.0309560871090906,"K_XYL_F_0008_01","UC_before"
-0.272931636596135,-0.0305684241101758,"K_XYL_F_0008_02","UC_after"
0.147108375163423,-0.0199932096891052,"K_XYL_F_0009_01","UC_before"
0.0585489370795575,0.0599608003005944,"K_XYL_F_0009_02","UC_after"
